uniprot,EnsemblGeneID,genename,Description,MitoList,MitoCarta3.0_SubMitoLocalization,MitoCarta3.0_MitoPathways,HPA_Main_Location_2020 (Reliability),complex,CI,CII,CIII,CIV,CV,mtRibo
Q9NRX2,ENSG00000158042,MRPL17,mitochondrial ribosomal protein L17,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
Q9H0U6,ENSG00000112110,MRPL18,mitochondrial ribosomal protein L18,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
P49406,ENSG00000115364,MRPL19,mitochondrial ribosomal protein L19,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
Q5T653,ENSG00000112651,MRPL2,mitochondrial ribosomal protein L2,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Approved),mtLSU,,,,,,mtLSU
Q9BYC9,ENSG00000242485,MRPL20,mitochondrial ribosomal protein L20,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
Q7Z2W9,ENSG00000197345,MRPL21,mitochondrial ribosomal protein L21,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria;Nucleoplasm (Approved),mtLSU,,,,,,mtLSU
Q9NWU5,ENSG00000082515,MRPL22,mitochondrial ribosomal protein L22,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Approved),mtLSU,,,,,,mtLSU
Q16540,ENSG00000214026|ENSG00000288141,MRPL23,mitochondrial ribosomal protein L23,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
Q96A35,ENSG00000143314,MRPL24,mitochondrial ribosomal protein L24,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
Q9P0M9,ENSG00000108826,MRPL27,mitochondrial ribosomal protein L27,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
Q13084,ENSG00000086504,MRPL28,mitochondrial ribosomal protein L28,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
P09001,ENSG00000114686,MRPL3,mitochondrial ribosomal protein L3,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
Q8TCC3,ENSG00000185414,MRPL30,mitochondrial ribosomal protein L30,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
Q9BYC8,ENSG00000106591,MRPL32,mitochondrial ribosomal protein L32,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
O75394,ENSG00000243147,MRPL33,mitochondrial ribosomal protein L33,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
Q9BQ48,ENSG00000130312,MRPL34,mitochondrial ribosomal protein L34,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
Q9NZE8,ENSG00000132313,MRPL35,mitochondrial ribosomal protein L35,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
Q9P0J6,ENSG00000171421,MRPL36,mitochondrial ribosomal protein L36,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria;Nuclear bodies (Supported),mtLSU,,,,,,mtLSU
Q9BZE1,ENSG00000116221,MRPL37,mitochondrial ribosomal protein L37,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
Q96DV4,ENSG00000204316,MRPL38,mitochondrial ribosomal protein L38,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
Q9NYK5,ENSG00000154719,MRPL39,mitochondrial ribosomal protein L39,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
Q9BYD3,ENSG00000105364,MRPL4,mitochondrial ribosomal protein L4,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
Q9NQ50,ENSG00000185608,MRPL40,mitochondrial ribosomal protein L40,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
Q8IXM3,ENSG00000182154,MRPL41,mitochondrial ribosomal protein L41,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
Q9Y6G3,ENSG00000198015,MRPL42,mitochondrial ribosomal protein L42,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria;Plasma membrane (Supported),mtLSU,,,,,,mtLSU
Q8N983,ENSG00000055950,MRPL43,mitochondrial ribosomal protein L43,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria;Nucleoplasm (Approved),mtLSU,,,,,,mtLSU
Q9H9J2,ENSG00000135900,MRPL44,mitochondrial ribosomal protein L44,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Approved),mtLSU,,,,,,mtLSU
B4DEF8,ENSG00000277936|ENSG00000278845,MRPL45,mitochondrial ribosomal protein L45,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Enhanced),mtLSU,,,,,,mtLSU
Q9H2W6,ENSG00000259494,MRPL46,mitochondrial ribosomal protein L46,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
Q9HD33,ENSG00000136522,MRPL47,mitochondrial ribosomal protein L47,Mito,Matrix,Mitochondrial central dogma;mtRNA metabolism;mtRNA granules;Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
Q96GC5,ENSG00000175581,MRPL48,mitochondrial ribosomal protein L48,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
Q13405,ENSG00000149792,MRPL49,mitochondrial ribosomal protein L49,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
Q8N5N7,ENSG00000136897,MRPL50,mitochondrial ribosomal protein L50,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
Q4U2R6,ENSG00000111639,MRPL51,mitochondrial ribosomal protein L51,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
Q86TS9,ENSG00000172590,MRPL52,mitochondrial ribosomal protein L52,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
Q96EL3,ENSG00000204822,MRPL53,mitochondrial ribosomal protein L53,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
Q6P161,ENSG00000183617,MRPL54,mitochondrial ribosomal protein L54,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Approved),mtLSU,,,,,,mtLSU
Q7Z7F7,ENSG00000162910,MRPL55,mitochondrial ribosomal protein L55,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
Q9BQC6,ENSG00000173141,MRPL57,mitochondrial ribosomal protein L57,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
Q14197,ENSG00000167862,MRPL58,mitochondrial ribosomal protein L58,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;Mitochondrial central dogma;Translation;Translation factors;LSU,Mitochondria;Nucleoplasm (Supported),mtLSU,,,,,,mtLSU
Q9BYD2,ENSG00000143436,MRPL9,mitochondrial ribosomal protein L9,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,Mitochondria (Supported),mtLSU,,,,,,mtLSU
P82664,ENSG00000048544,MRPS10,mitochondrial ribosomal protein S10,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria (Approved),mtSSU,,,,,,mtSSU
P82912,ENSG00000181991,MRPS11,mitochondrial ribosomal protein S11,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria (Supported),mtSSU,,,,,,mtSSU
O15235,ENSG00000128626|ENSG00000283018,MRPS12,mitochondrial ribosomal protein S12,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,,mtSSU,,,,,,mtSSU
O60783,ENSG00000120333,MRPS14,mitochondrial ribosomal protein S14,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria;Nuclear membrane (Supported),mtSSU,,,,,,mtSSU
P82914,ENSG00000116898,MRPS15,mitochondrial ribosomal protein S15,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria (Supported),mtSSU,,,,,,mtSSU
Q9Y3D3,ENSG00000182180,MRPS16,mitochondrial ribosomal protein S16,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Cytosol;Mitochondria (Supported),mtSSU,,,,,,mtSSU
Q9Y2R5,ENSG00000239789,MRPS17,mitochondrial ribosomal protein S17,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,,mtSSU,,,,,,mtSSU
Q9NVS2,ENSG00000096080,MRPS18A,mitochondrial ribosomal protein S18A,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
Q9Y676,ENSG00000203624|ENSG00000204568|ENSG00000223775|ENSG00000226111|ENSG00000227420|ENSG00000229861|ENSG00000233813,MRPS18B,mitochondrial ribosomal protein S18B,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria (Supported),mtSSU,,,,,,mtSSU
Q9Y3D5,ENSG00000163319,MRPS18C,mitochondrial ribosomal protein S18C,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,,mtSSU,,,,,,mtSSU
Q9Y399,ENSG00000122140,MRPS2,mitochondrial ribosomal protein S2,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria (Supported),mtSSU,,,,,,mtSSU
P82921,ENSG00000266472,MRPS21,mitochondrial ribosomal protein S21,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria (Supported),mtSSU,,,,,,mtSSU
P82650,ENSG00000175110,MRPS22,mitochondrial ribosomal protein S22,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria (Supported),mtSSU,,,,,,mtSSU
Q9Y3D9,ENSG00000181610,MRPS23,mitochondrial ribosomal protein S23,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria (Supported),mtSSU,,,,,,mtSSU
Q96EL2,ENSG00000062582,MRPS24,mitochondrial ribosomal protein S24,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,,mtSSU,,,,,,mtSSU
P82663,ENSG00000131368,MRPS25,mitochondrial ribosomal protein S25,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria (Supported),mtSSU,,,,,,mtSSU
Q9BYN8,ENSG00000125901,MRPS26,mitochondrial ribosomal protein S26,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria (Supported),mtSSU,,,,,,mtSSU
Q92552,ENSG00000113048,MRPS27,mitochondrial ribosomal protein S27,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria;Nucleoplasm (Approved),mtSSU,,,,,,mtSSU
Q9Y2Q9,ENSG00000147586,MRPS28,mitochondrial ribosomal protein S28,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria (Supported),mtSSU,,,,,,mtSSU
Q9NP92,ENSG00000112996,MRPS30,mitochondrial ribosomal protein S30,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;LSU,,mtLSU,,,,,,mtLSU
Q92665,ENSG00000102738,MRPS31,mitochondrial ribosomal protein S31,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria (Supported),mtSSU,,,,,,mtSSU
Q9Y291,ENSG00000090263,MRPS33,mitochondrial ribosomal protein S33,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,,mtSSU,,,,,,mtSSU
P82930,ENSG00000074071,MRPS34,mitochondrial ribosomal protein S34,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria (Supported),mtSSU,,,,,,mtSSU
P82673,ENSG00000061794,MRPS35,mitochondrial ribosomal protein S35,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU;SSU,Mitochondria (Approved),mtSSU,,,,,,mtSSU
P82909,ENSG00000134056|ENSG00000278461,MRPS36,mitochondrial ribosomal protein S36,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;Metabolism;Carbohydrate metabolism;TCA cycle;SSU,Mitochondria (Enhanced),mtSSU,,,,,,mtSSU
P82675,ENSG00000144029,MRPS5,mitochondrial ribosomal protein S5,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria (Supported),mtSSU,,,,,,mtSSU
P82932,ENSG00000243927,MRPS6,mitochondrial ribosomal protein S6,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria (Supported),mtSSU,,,,,,mtSSU
Q9Y2R9,ENSG00000125445,MRPS7,mitochondrial ribosomal protein S7,Mito,Matrix,Mitochondrial central dogma;mtRNA metabolism;mtRNA granules;Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria (Approved),mtSSU,,,,,,mtSSU
P82933,ENSG00000135972,MRPS9,mitochondrial ribosomal protein S9,Mito,Matrix,Mitochondrial central dogma;mtRNA metabolism;mtRNA granules;Mitochondrial central dogma;Translation;Mitochondrial ribosome;SSU,Mitochondria (Enhanced),mtSSU,,,,,,mtSSU
Q96EY7,ENSG00000132300,PTCD3,pentatricopeptide repeat domain 3,Mito,Matrix,Mitochondrial central dogma;Translation;Mitochondrial ribosome;Mitochondrial central dogma;Translation;Mitochondrial ribosome assembly;SSU,Mitochondria (Supported),mtSSU,,,,,,mtSSU
P08574,ENSG00000179091,CYC1,cytochrome c1,Mito,MIM,OXPHOS;Complex III;CIII subunits;Metabolism;Metals and cofactors;Heme-containing proteins;Metabolism;Electron carriers;Cytochromes;OXPHOS;OXPHOS subunits,Mitochondria (Supported),CIII,,,CIII,,,
P00156,ENSG00000198727,MT-CYB,cytochrome b,Mito,MIM,OXPHOS;Complex III;CIII subunits;Metabolism;Metals and cofactors;Heme-containing proteins;Metabolism;Electron carriers;Cytochromes;OXPHOS;OXPHOS subunits,Mitochondria (Approved),CIII,,,CIII,,,
Q9UDW1,ENSG00000184076,UQCR10,"ubiquinol-cytochrome c reductase, complex III subunit X",Mito,MIM,OXPHOS;Complex III;CIII subunits;OXPHOS;OXPHOS subunits,,CIII,,,CIII,,,
O14957,ENSG00000127540,UQCR11,"ubiquinol-cytochrome c reductase, complex III subunit XI",Mito,MIM,OXPHOS;Complex III;CIII subunits;OXPHOS;OXPHOS subunits,,CIII,,,CIII,,,
P14927,ENSG00000156467,UQCRB,ubiquinol-cytochrome c reductase binding protein,Mito,MIM,OXPHOS;Complex III;CIII subunits;OXPHOS;OXPHOS subunits,,CIII,,,CIII,,,
P31930,ENSG00000010256,UQCRC1,ubiquinol-cytochrome c reductase core protein 1,Mito,MIM,"Protein import, sorting and homeostasis;Protein import and sorting;Preprotein cleavage;OXPHOS;Complex III;CIII subunits;OXPHOS;OXPHOS subunits",Mitochondria (Supported),CIII,,,CIII,,,
P22695,ENSG00000140740,UQCRC2,ubiquinol-cytochrome c reductase core protein 2,Mito,MIM,"Protein import, sorting and homeostasis;Protein import and sorting;Preprotein cleavage;OXPHOS;Complex III;CIII subunits;OXPHOS;OXPHOS subunits",Mitochondria (Enhanced),CIII,,,CIII,,,
P47985,ENSG00000169021,UQCRFS1,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",Mito,MIM,OXPHOS;Complex III;CIII subunits;Metabolism;Metals and cofactors;Fe-S-containing proteins;OXPHOS;OXPHOS subunits,Mitochondria (Approved),CIII,,,CIII,,,
P07919,ENSG00000173660,UQCRH,ubiquinol-cytochrome c reductase hinge protein,Mito,MIM,OXPHOS;Complex III;CIII subunits;OXPHOS;OXPHOS subunits,,CIII,,,CIII,,,
O14949,ENSG00000164405,UQCRQ,ubiquinol-cytochrome c reductase complex III subunit VII,Mito,MIM,OXPHOS;Complex III;CIII subunits;OXPHOS;OXPHOS subunits,Mitochondria (Enhanced),CIII,,,CIII,,,
Q9P2X7,ENSG00000173077,Dec-01,deleted in esophageal cancer 1,NonMito,,,,Other,,,,,,
P04217,ENSG00000121410,A1BG,alpha-1-B glycoprotein,NonMito,,,,Other,,,,,,
Q9NQ94,ENSG00000148584,A1CF,APOBEC1 complementation factor,NonMito,,,Nucleoplasm (Supported),Other,,,,,,
P01023,ENSG00000175899,A2M,alpha-2-macroglobulin,NonMito,,,,Other,,,,,,
A8K2U0,ENSG00000166535,A2ML1,alpha-2-macroglobulin like 1,NonMito,,,,Other,,,,,,
U3KPV4,ENSG00000184389,A3GALT2,"alpha 1,3-galactosyltransferase 2",NonMito,,,,Other,,,,,,
Q9NPC4,ENSG00000128274,A4GALT,"alpha 1,4-galactosyltransferase (P blood group)",NonMito,,,Mitochondria (Uncertain),Other,,,,,,
Q9UNA3,ENSG00000118017,A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase",NonMito,,,,Other,,,,,,
Q9NRG9,ENSG00000094914,AAAS,aladin WD repeat nucleoporin,NonMito,,,Nuclear membrane (Approved),Other,,,,,,
Q86V21,ENSG00000081760,AACS,acetoacetyl-CoA synthetase,NonMito,,,Vesicles (Approved),Other,,,,,,
P22760,ENSG00000114771,AADAC,arylacetamide deacetylase,NonMito,,,,Other,,,,,,
Q6P093,ENSG00000197953|ENSG00000261846,AADACL2,arylacetamide deacetylase like 2,NonMito,,,,Other,,,,,,
Q5VUY0,ENSG00000188984,AADACL3,arylacetamide deacetylase like 3,NonMito,,,,Other,,,,,,
Q5VUY2,ENSG00000204518,AADACL4,arylacetamide deacetylase like 4,NonMito,,,,Other,,,,,,
Q8N5Z0,ENSG00000109576,AADAT,aminoadipate aminotransferase,Mito,Matrix,Metabolism;Amino acid metabolism;Lysine metabolism,Plasma membrane (Approved),Other,,,,,,
Q6PD74,ENSG00000103591,AAGAB,alpha and gamma adaptin binding protein,NonMito,,,Cytosol;Nuclear speckles (Supported),Other,,,,,,
Q2M2I8,ENSG00000115977,AAK1,AP2 associated kinase 1,NonMito,,,Plasma membrane (Supported),Other,,,,,,
Q9H7C9,ENSG00000087884,AAMDC,adipogenesis associated Mth938 domain containing,NonMito,,,Nucleoplasm (Approved),Other,,,,,,
Q13685,ENSG00000127837,AAMP,angio associated migratory cell protein,NonMito,,,Microtubules (Supported),Other,,,,,,
Q16613,ENSG00000129673,AANAT,aralkylamine N-acetyltransferase,NonMito,,,Cytosol (Supported),Other,,,,,,
Q9Y312,ENSG00000131043,AAR2,AAR2 splicing factor,NonMito,,,Cytosol (Approved),Other,,,,,,
Q4LEZ3,ENSG00000205002,AARD,alanine and arginine rich domain containing protein,NonMito,,,Lipid droplets (Approved),Other,,,,,,
P49588,ENSG00000090861,AARS1,alanyl-tRNA synthetase 1,NonMito,,,Cytosol (Enhanced),Other,,,,,,
Q5JTZ9,ENSG00000124608,AARS2,"alanyl-tRNA synthetase 2, mitochondrial",Mito,Matrix,Mitochondrial central dogma;Translation;mt-tRNA synthetases,Mitochondria (Enhanced),Other,,,,,,
0,ENSG00000266967,AARSD1,alanyl-tRNA synthetase domain containing 1,NonMito,,,Cytosol;Nuclear membrane (Approved),Other,,,,,,
Q4L235,ENSG00000157426,AASDH,aminoadipate-semialdehyde dehydrogenase,NonMito,,,,Other,,,,,,
Q9NRN7,ENSG00000149313,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,NonMito,,,,Other,,,,,,
Q9UDR5,ENSG00000008311,AASS,aminoadipate-semialdehyde synthase,Mito,Matrix,Metabolism;Amino acid metabolism;Lysine metabolism,Mitochondria (Enhanced),Other,,,,,,
Q9NY61,ENSG00000275700|ENSG00000276072,AATF,apoptosis antagonizing transcription factor,NonMito,,,Nucleoli (Supported),Other,,,,,,
Q6ZMQ8,ENSG00000181409,AATK,apoptosis associated tyrosine kinase,NonMito,,,Mitochondria (Uncertain),Other,,,,,,
P80404,ENSG00000183044,ABAT,4-aminobutyrate aminotransferase,Mito,Matrix,Metabolism;Amino acid metabolism;GABA metabolism;Metabolism;Metals and cofactors;Fe-S-containing proteins,Mitochondria (Supported),Other,,,,,,
O95477,ENSG00000165029,ABCA1,ATP binding cassette subfamily A member 1,NonMito,,,Nucleoplasm;Vesicles (Approved),Other,,,,,,
Q8WWZ4,ENSG00000154263,ABCA10,ATP binding cassette subfamily A member 10,NonMito,,,,Other,,,,,,
Q86UK0,ENSG00000144452,ABCA12,ATP binding cassette subfamily A member 12,NonMito,,,Plasma membrane;Vesicles (Approved),Other,,,,,,
Q86UQ4,ENSG00000179869,ABCA13,ATP binding cassette subfamily A member 13,NonMito,,,Vesicles (Approved),Other,,,,,,
Q9BZC7,ENSG00000107331,ABCA2,ATP binding cassette subfamily A member 2,NonMito,,,,Other,,,,,,
Q99758,ENSG00000167972,ABCA3,ATP binding cassette subfamily A member 3,NonMito,,,Cytosol;Nucleoplasm (Approved),Other,,,,,,
P78363,ENSG00000198691,ABCA4,ATP binding cassette subfamily A member 4,NonMito,,,,Other,,,,,,
Q8WWZ7,ENSG00000154265,ABCA5,ATP binding cassette subfamily A member 5,NonMito,,,Nucleoplasm (Approved),Other,,,,,,
Q8N139,ENSG00000154262,ABCA6,ATP binding cassette subfamily A member 6,NonMito,,,Nucleoplasm (Enhanced),Other,,,,,,
Q8IZY2,ENSG00000064687,ABCA7,ATP binding cassette subfamily A member 7,NonMito,,,Golgi apparatus;Plasma membrane (Supported),Other,,,,,,
O94911,ENSG00000141338,ABCA8,ATP binding cassette subfamily A member 8,NonMito,,,Nucleoplasm (Approved),Other,,,,,,
Q8IUA7,ENSG00000154258,ABCA9,ATP binding cassette subfamily A member 9,Mito,Membrane,Small molecule transport;ABC transporters,Endoplasmic reticulum (Approved),Other,,,,,,
P08183,ENSG00000085563,ABCB1,ATP binding cassette subfamily B member 1,NonMito,,,Cytosol;Focal adhesion sites;Nucleoplasm (Approved),Other,,,,,,
Q9NRK6,ENSG00000135776,ABCB10,ATP binding cassette subfamily B member 10,Mito,MIM,Metabolism;Metals and cofactors;Heme synthesis and processing;Small molecule transport;ABC transporters,,Other,,,,,,
O95342,ENSG00000073734|ENSG00000276582,ABCB11,ATP binding cassette subfamily B member 11,NonMito,,,Cytosol;Nucleoplasm;Plasma membrane (Uncertain),Other,,,,,,
P21439,ENSG00000005471,ABCB4,ATP binding cassette subfamily B member 4,NonMito,,,Actin filaments;Nucleoplasm;Plasma membrane (Approved),Other,,,,,,
Q2M3G0,ENSG00000004846,ABCB5,ATP binding cassette subfamily B member 5,NonMito,,,,Other,,,,,,
Q9NP58,ENSG00000115657,ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group),Mito,MOM,Metabolism;Metals and cofactors;Heme synthesis and processing;Small molecule transport;ABC transporters,Golgi apparatus (Supported),Other,,,,,,
